VEHICLE_NAME;DEV_1;DEV_2;DEV_3;SETUP_USAGE_PERCENT
china:Ch01_Type59;ventilation;aimingStabilizer;rammer;27.49
china:Ch01_Type59;ventilation;rammer;coatedOptics;11.88
china:Ch01_Type59;ventilation;enhancedAimDrives;rammer;6.35
china:Ch01_Type59_Gold;ventilation;aimingStabilizer;rammer;26.38
china:Ch01_Type59_Gold;ventilation;rammer;coatedOptics;15.2
china:Ch01_Type59_Gold;turbocharger;rammer;ventilation;7.6
china:Ch02_Type62;coatedOptics;additInvisibilityDevice;ventilation;24.61
china:Ch02_Type62;coatedOptics;rammer;ventilation;12.22
china:Ch02_Type62;stereoscope;ventilation;camouflageNet;5.83
china:Ch03_WZ-111;ventilation;enhancedAimDrives;rammer;23.8
china:Ch03_WZ-111;ventilation;aimingStabilizer;rammer;21.96
china:Ch03_WZ-111;rammer;aimingStabilizer;enhancedAimDrives;8.47
china:Ch03_WZ_111_A;ventilation;aimingStabilizer;rammer;12.67
china:Ch03_WZ_111_A;healthReserve;rammer;ventilation;11.47
china:Ch03_WZ_111_A;ventilation;enhancedAimDrives;rammer;10.42
china:Ch04_T34_1;ventilation;rammer;coatedOptics;14.21
china:Ch04_T34_1;ventilation;improvedSights;rammer;10.53
china:Ch04_T34_1;ventilation;enhancedAimDrives;rammer;9.53
china:Ch05_T34_2;ventilation;aimingStabilizer;rammer;19.12
china:Ch05_T34_2;ventilation;enhancedAimDrives;rammer;8.11
china:Ch05_T34_2;ventilation;rammer;coatedOptics;6
china:Ch06_Renault_NC31;;;;100
china:Ch07_Vickers_MkE_Type_BT26;ventilation;;;29.25
china:Ch07_Vickers_MkE_Type_BT26;healthReserve;;;26
china:Ch07_Vickers_MkE_Type_BT26;enhancedAimDrives;;;12.49
china:Ch08_Type97_Chi_Ha;ventilation;enhancedAimDrives;;11.91
china:Ch08_Type97_Chi_Ha;healthReserve;enhancedAimDrives;;11.36
china:Ch08_Type97_Chi_Ha;camouflageNet;stereoscope;;9.77
china:Ch09_M5;ventilation;enhancedAimDrives;coatedOptics;12.44
china:Ch09_M5;ventilation;additInvisibilityDevice;coatedOptics;11.78
china:Ch09_M5;ventilation;turbocharger;coatedOptics;7.31
china:Ch10_IS2;healthReserve;rammer;ventilation;14.66
china:Ch10_IS2;ventilation;enhancedAimDrives;rammer;11.78
