VEHICLE_NAME;DEV_1;DEV_2;DEV_3;SETUP_USAGE_PERCENT
china:Ch01_Type59;ventilation;aimingStabilizer;rammer;31.89
china:Ch01_Type59;rammer;aimingStabilizer;coatedOptics;17.8
china:Ch01_Type59;turbocharger;aimingStabilizer;rammer;9.85
china:Ch01_Type59_Gold;ventilation;aimingStabilizer;rammer;41.22
china:Ch01_Type59_Gold;aimingStabilizer;rammer;coatedOptics;12.5
china:Ch01_Type59_Gold;coatedOptics;commandersView;rammer;9.97
china:Ch02_Type62;coatedOptics;additInvisibilityDevice;ventilation;26.97
china:Ch02_Type62;additInvisibilityDevice;turbocharger;coatedOptics;16.66
china:Ch02_Type62;ventilation;aimingStabilizer;rammer;9.55
china:Ch03_WZ-111;ventilation;aimingStabilizer;rammer;28.46
china:Ch03_WZ-111;ventilation;enhancedAimDrives;rammer;15.58
china:Ch03_WZ-111;healthReserve;aimingStabilizer;rammer;12.12
china:Ch03_WZ_111_A;healthReserve;aimingStabilizer;rammer;26.05
china:Ch03_WZ_111_A;aimingStabilizer;turbocharger;rammer;19.6
china:Ch03_WZ_111_A;ventilation;aimingStabilizer;rammer;16.87
china:Ch04_T34_1;ventilation;rammer;coatedOptics;26.77
china:Ch04_T34_1;ventilation;modernizedTurbochargerRotationMechanism;coatedOptics;14.74
china:Ch04_T34_1;rotationMechanism;rammer;coatedOptics;14.62
china:Ch05_T34_2;ventilation;aimingStabilizer;rammer;32.25
china:Ch05_T34_2;turbocharger;aimingStabilizer;rammer;22.81
china:Ch05_T34_2;coatedOptics;aimingStabilizer;rammer;9.43
china:Ch09_M5;stereoscope;enhancedAimDrives;ventilation;48.08
china:Ch09_M5;additInvisibilityDevice;coatedOptics;ventilation;36.97
china:Ch09_M5;coatedOptics;turbocharger;ventilation;3.9
china:Ch10_IS2;ventilation;enhancedAimDrives;rammer;33.22
china:Ch10_IS2;ventilation;improvedSights;rammer;15.04
china:Ch10_IS2;ventilation;rammer;coatedOptics;8.75
china:Ch11_110;healthReserve;aimingStabilizer;rammer;39.32
china:Ch11_110;modernizedTurbochargerRotationMechanism;aimingStabilizer;rammer;17.97
china:Ch11_110;ventilation;aimingStabilizer;rammer;11.21
china:Ch12_111_1_2_3;healthReserve;aimingStabilizer;rammer;37.82
china:Ch12_111_1_2_3;modernizedTurbochargerRotationMechanism;aimingStabilizer;rammer;23.07
china:Ch12_111_1_2_3;turbocharger;aimingStabilizer;rammer;14.76
china:Ch14_T34_3;ventilation;aimingStabilizer;rammer;27.11
china:Ch14_T34_3;turbocharger;aimingStabilizer;rammer;8.79
china:Ch14_T34_3;rammer;aimingStabilizer;coatedOptics;5.91
china:Ch15_59_16;coatedOptics;additInvisibilityDevice;ventilation;40.46
china:Ch15_59_16;stereoscope;ventilation;camouflageNet;15.77
china:Ch15_59_16;ventilation;rammer;coatedOptics;7.25
china:Ch16_WZ_131;ventilation;additInvisibilityDevice;coatedOptics;60.78
china:Ch16_WZ_131;additInvisibilityDevice;rammer;coatedOptics;12.44
china:Ch16_WZ_131;coatedOptics;rammer;ventilation;7.07
china:Ch17_WZ131_1_WZ132;commandersView;additInvisibilityDevice;coatedOptics;67.56
china:Ch17_WZ131_1_WZ132;coatedOptics;aimingStabilizer;rammer;10.46
china:Ch17_WZ131_1_WZ132;commandersView;ventilation;coatedOptics;6.28
china:Ch18_WZ-120;ventilation;aimingStabilizer;rammer;44.34
china:Ch18_WZ-120;turbocharger;aimingStabilizer;rammer;17.76
china:Ch18_WZ-120;modernizedTurbochargerRotationMechanism;aimingStabilizer;rammer;5.28
china:Ch19_121;ventilation;aimingStabilizer;rammer;32.71
china:Ch19_121;turbocharger;aimingStabilizer;rammer;13.23
china:Ch19_121;rammer;modernizedExtraHealthReserveAntifragmentationLining;modernizedTurbochargerRotationMechanism;10.58
china:Ch20_Type58;ventilation;rammer;coatedOptics;23.8
china:Ch20_Type58;turbocharger;rammer;coatedOptics;13.25
china:Ch20_Type58;turbocharger;additInvisibilityDevice;coatedOptics;10.29
china:Ch21_T34;ventilation;rammer;coatedOptics;26.9
china:Ch21_T34;modernizedTurbochargerRotationMechanism;rotationMechanism;rammer;14.86
china:Ch21_T34;stereoscope;improvedSights;ventilation;11.53
china:Ch22_113;healthReserve;aimingStabilizer;rammer;27.41
china:Ch22_113;healthReserve;turbocharger;rammer;15.9
china:Ch22_113;turbocharger;aimingStabilizer;rammer;12.11
china:Ch22_113_Beijing_Opera;healthReserve;aimingStabilizer;rammer;43.41
china:Ch22_113_Beijing_Opera;healthReserve;turbocharger;rammer;12.87
china:Ch22_113_Beijing_Opera;ventilation;aimingStabilizer;rammer;10.58
china:Ch23_112;healthReserve;aimingStabilizer;rammer;23.3
china:Ch23_112;turbocharger;rammer;aimingStabilizer;15.77
china:Ch23_112;ventilation;aimingStabilizer;rammer;14.87
